population,pop2024,pop2023,pop2022,pop2021,pop2020,pop2019,pop2018,pop2017,pop2016,pop2015,pop2014,pop2013,pop2012,pop2011,pop2010,pop2009,pop2008,pop2007,pop2006,pop2005,pop2004,pop2003,pop2002,pop2001,pop2000,growth,region,city,usps,state,countyFips,county,densityMi,slug,areaMi,lng,lat,type,rank
615,615,622,628,710.5,793,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,706,695.5159908,685.0319816,674.5479724,494128.064,653.5799539,643.0959447,632.6119355,622.1279263,611.6439171,601.1599079,-0.01125,Central,Wiscon,FL,Florida,12017,Citrus County,730,florida/wiscon,0.842,-82.4661,28.541,CDP,835
614,614,608,605,597.5,590,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,533,525.0850185,517.1700371,509.2550556,494069.1401,493.4250927,485.5101113,477.5951298,469.6801483,461.7651669,453.8501854,0.00987,Northwest,Laurel Hill,FL,Florida,12091,Okaloosa County,146,florida/laurel-hill,4.208,-86.4578,30.9606,City,836
604,604,617,629,860.5,1092,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,776,764.4764998,752.9529996,741.4294994,494151.906,718.382499,706.8589987,695.3354985,683.8119983,672.2884981,660.7649979,-0.02107,Southeast,Gun Club Estates,FL,Florida,12099,Palm Beach County,5076,florida/gun-club-estates,0.119,-80.1084,26.6754,CDP,837
603,603,605,608,609,610,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,603,594.0455275,585.0910551,576.1365826,494092.9821,558.2276377,549.2731653,540.3186928,531.3642204,522.4097479,513.4552754,-0.00331,Southeast,St. Lucie Village,FL,Florida,12111,St. Lucie County,671,florida/st-lucie-village,0.898,-80.3418,27.4999,Town,838
602,602,606,610,548,486,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,657,647.2436345,637.487269,627.7309035,494111.3745,608.2181724,598.4618069,588.7054414,578.9490759,569.1927104,559.4363449,-0.0066,Southeast,Lemon Grove,FL,Florida,12049,Hardee County,20,florida/lemon-grove,29.835,-81.6503,27.5931,CDP,839
586,586,572,557,543.5,530,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,534,526.0701687,518.1403373,510.210506,494069.4807,494.3508434,486.421012,478.4911807,470.5613494,462.631518,454.7016867,0.02448,Northwest,Jay,FL,Florida,12113,Santa Rosa County,353,florida/jay,1.66,-87.1523,30.9504,Town,840
573,573,558,541,526,511,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,455,448.2433085,441.486617,434.7299255,494042.5732,421.2165426,414.4598511,407.7031596,400.9464681,394.1897766,387.4330851,0.02688,North,Bell,FL,Florida,12041,Gilchrist County,350,florida/bell,1.638,-82.862,29.7568,Town,841
558,558,553,548,543,538,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,684,673.842688,663.6853759,653.5280639,494120.5708,633.2134398,623.0561278,612.8988157,602.7415037,592.5841916,582.4268796,0.00904,Northwest,Greenwood,FL,Florida,12063,Jackson County,122,florida/greenwood,4.564,-85.1612,30.8727,Town,842
557,557,547,528,522,516,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,415,408.8373034,402.6746067,396.5119101,494028.9492,384.1865168,378.0238202,371.8611236,365.6984269,359.5357303,353.3730337,0.01828,Southeast,Orchid,FL,Florida,12061,Indian River County,451,florida/orchid,1.236,-80.4245,27.7719,Town,843
556,556,552,540,539,538,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,500,492.5750643,485.1501286,477.7251929,494057.9003,462.8753215,455.4503858,448.0254501,440.6005144,433.1755787,425.750643,0.00725,Southeast,Sea Ranch Lakes,FL,Florida,12011,Broward County,3195,florida/sea-ranch-lakes,0.174,-80.0984,26.1999,Village,844
540,540,502,463,529.5,596,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.0757,South,Pinecraft,FL,Florida,12115,Sarasota County,2061,florida/pinecraft,0.262,-82.5007,27.3232,CDP,845
534,534,531,529,565,601,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,500,492.5750643,485.1501286,477.7251929,494057.9003,462.8753215,455.4503858,448.0254501,440.6005144,433.1755787,425.750643,0.00565,Northwest,Lake Mystic,FL,Florida,12037,Franklin County,118,florida/lake-mystic,4.536,-84.9913,30.3916,CDP,846
